Rank ,name,symbol,Genesis,Type,Coinmarketcap,whitepaper,Title,Abstract
14,Cronos Chain,CRO,2018,Blockchain,https://coinmarketcap.com/currencies/cronos/,https://whitepaper.cronos.org/,Cronos Whitepaper,"Cronos is a decentralised, open-source, energy-efficient public blockchain with high speed and low transaction fees. Cronos is designed to support the creator economy with Web3 applications such as DeFi and GameFi, ultimately serving as the foundational infrastructure for an open metaverse. Cronos is designed to serve the next billion Web3 users and to help them experience the full promise of self-custody of their digital assets.
Cronos is an Ethereum-Virtual Machine (EVM) compatible blockchain powered by Ethermint and built with the Cosmos SDK that supports the Inter-Blockchain Communication (IBC) protocol. Accordingly, end-users can import cryptocurrencies from the Ethereum, Cosmos and other chain families into Cronos, and subsequently use, trade or invest them in innovative smart contract-based protocols leveraging the rich application ecosystem of Ethereum / Solidity, and rapidly port apps & smart contracts from Ethereum and EVM-compatible chains.
Cronos is fast, cost-effective, and frictionless. Cronos aims for high transaction throughput (from hundreds to thousands of transactions per second), fast transaction finality (5–6 seconds), and low transaction fees (from one cent to a few dimes). Its Proof of Authority (POA) consensus mechanism combines decentralisation with streamlined, scalable, and environment-friendly transaction processing. Cronos can deliver cheaper transactions than Ethereum mainnet, making decentralised applications (dApps) and smart contracts potentially more affordable, carbon-neutral, and more user-friendly.
Developers on Cronos can benefit from the support of Cronos Labs, a Web3 startup accelerator and ecosystem development fund. Builders and creators can tap into its $100m EVM fund."
15,Quant Overledger,QNT,2018,Cross-chain,https://coinmarketcap.com/currencies/quant/,https://whitepaper.io/coin/quant,Quant Overledger Whitepaper,"The traditional Internet architecture hasn’t yet achieved its vision of an open, trusted and secure network. The technology of distributed ledger technologies (DLT) and their broad range of applications across finance, healthcare, supply-chain and many other sectors, is an opportunity for the Internet to adapt and honour what was originally envisaged, and reach its potential as a decentralised network of networks. While providing a broad range of benefits, the fast-paced environment of DLTs lack seamless inter-communicability, internally among ledgers, and externally with existing networks. This limitation forces distributed applications to be single-ledger-dependent, i.e. limited to be only executed on a single ledger. From a technology perspective, the fact that distributed or decentralised applications are single ledger-dependent, makes it difficult to choose the appropriate DLT fit for a purpose, meeting technical and business requirements when considering DLTs for decentralised applications. This technical dependency slows down mass-adoption, limits scope, impedes scalability of new features and reduces necessary controls required for data security and privacy. From a business perspective, a single-ledger DLT application increases the amount of risk, complexity and effort needed to adopt multiple DLT technologies, in many cases even duplicating resources and investments. Enterprises are forced to accept financial risk, due to a monopolistic approach to DLT fees, by limiting options to manage fees and transaction costs. All challenges listed limit widespread adoption and a critical mass of users. This paper proposes a solution to this problem of single-ledger dependency, by introducing a new technology for the design, deployment and execution of multi-ledger
decentralised applications. This technology’s called Overledger."
16,Agorand,ALGO,2019,Blockchain,https://coinmarketcap.com/currencies/algorand/,https://www.algorand.com/technology/white-papers,Algorand: Scaling Byzantine Agreements for Cryptocurrencies,"Algorand uses a new Byzantine Agreement (BA) protocol to reach consensus among users on the next set of transactions. To scale the consensus to many users, Algorand uses a novel mechanism based on Verifiable Random Functions that allows users to privately check whether they are selected to participate in the BA to agree on the next set of transactions, and to include a proof of their selection in their network messages. In Algorand’s BA protocol, users do not keep any private state except for their private keys, which allows Algorand to replace participants immediately after they send a message. This mitigates targeted attacks on chosen participants after their identity is revealed.
We implement Algorand and evaluate its performance on 1,000 EC2 virtual machines, simulating up to 500,000 users. Experimental results show that Algorand confirms transactions in under a minute, achieves 125x Bitcoin’s throughput, and incurs almost no penalty for scaling to more users."
17,NEAR Protocol,NEAR,2021,Blockchain,https://coinmarketcap.com/currencies/near-protocol/,https://near.org/papers/the-official-near-white-paper/,The NEAR whitepaper,"NEAR is a decentralized application platform with the potential to change how systems are designed, how applications are built and how the web itself works. 
It is a complex technology with a simple goal — allow developers and entrepreneurs to easily and sustainably build applications which secure high value assets like money and identity while making them performant and usable enough for consumers to access.   
To do this, NEAR is built from the ground up to deliver intuitive experiences for end users, scale capacity across millions of devices and provide developers with new and sustainable business models for their applications. In doing so, NEAR is creating the only community-run cloud strong enough to extend the reach of Open Finance and power the future of the Open Web. "
18,Filecoin,FIL,2017,Cross-chain,https://coinmarketcap.com/currencies/filecoin/,https://whitepaper.io/coin/filecoin,Filecoin: A Decentralized Storage Network,"The internet is in the middle of a revolution: centralized proprietary services are being replaced with decentralized open ones; trusted parties replaced with verifiable computation; brittle location addresses replaced with resilient content addresses; inefficient monolithic services replaced with peer-to-peer algorithmic markets. Bitcoin, Ethereum, and other blockchain networks have proven the utility of decentralized transaction ledgers. These public ledgers process sophisticated smart contract applications and transact crypto-assets worth tens of billions of dollars. These systems are the first instances of internetwide Open Services, where participants form a decentralized network providing useful services for pay, with no central management or trusted parties. IPFS has proven the utility of content-addressing by decentralizing the web itself, serving billions of files used across a global peer-to-peer network. It liberates data from silos, survives network partitions, works offline, routes around censorship, and gives permanence to digital information. Filecoin is a decentralized storage network that turns cloud storage into an algorithmic market. The market runs on a blockchain with a native protocol token (also called “Filecoin”), which miners earn
by providing storage to clients. Conversely, clients spend Filecoin hiring miners to store or distribute data. As with Bitcoin, Filecoin miners compete to mine blocks with sizable rewards, but Filecoin mining power is proportional to active storage, which directly provides a useful service to clients (unlike Bitcoin
mining, whose usefulness is limited to maintaining blockchain consensus). This creates a powerful incentive for miners to amass as much storage as they can, and rent it out to clients. The protocol weaves these amassed resources into a self-healing storage network that anybody in the world can rely on. The network achieves robustness by replicating and dispersing content, while automatically detecting and repairing replica failures. Clients can select replication parameters to protect against different threat models. The protocol’s cloud storage network also provides security, as content is encrypted end-to-end at the client, while storage providers do not have access to decryption keys. Filecoin works as an incentive layer on top of IPFS, which can provide storage infrastructure for any data. It is especially useful for decentralizing data, building and running distributed applications, and implementing smart contracts."
19,Hedera,HBAR,2019,Blockchain,https://coinmarketcap.com/currencies/hedera/,https://www.hedera.com/papers,Hedera: A Public Hashgraph Network & Governing Council,"The Hedera network will be governed by a council of leading global enterprises, across multiple industries and geographies. Its vision is a cyberspace that is trusted and secure, without the need for centralized parties with inordinate influence. Its licensing and governance model protects users by eliminating the risk of forking, protecting the integrity of the codebase, and providing open access to review the underlying software code. Platform governance will be decentralized through the  Hedera Governing Council, which will have a termlimited, rotating set of governing members that each have equal voting rights over key decisions relating to the platform.1 The Hedera network is a distributed ledger platform that resolves the factors that constrain adoption of public DLT by the mainstream."
20,Internet Computer,ICP,2021,Blockchain,https://coinmarketcap.com/currencies/internet-computer/,https://internetcomputer.org/whitepaper.pdf,The Internet Computer for Geeks,"Smart contracts are a new form of software that will revolutionize how software is written, IT systems are maintained, and applications and whole businesses are built. Smart contracts are composable and autonomous pieces of software that run on decentralized blockchains, which makes them tamperproof and unstoppable. In this paper, we describe the Internet Computer (IC), which is a radical new design of blockchain that unleashes the full potential of smart contracts, overcoming the limitations of smart contracts on traditional blockchains with respect to speed, storage costs, and computational capacity. This allows smart contracts for the first time to implement fully decentralized applications that are hosted end to end on blockchain. The IC consists of a set of cryptographic protocols that connects independently operated nodes into a collection of blockchains. These blockchains host and execute “canisters”, the IC’s form of smart contracts. Canisters can store data, perform very general computations on that data, and provide a complete technology stack, serving web pages directly to end users. Computational and storage costs are covered by a “reverse-gas model”, where canister developers pre-pay costs in cycles that are obtained from ICP, the native token of the IC. ICP tokens are also used for governance: the IC is governed by a decentralized autonomous organization, or DAO, which, among other things, determines changes to the topology of the network and upgrades to the protocol."
21,EOS Network,EOS,2018,Blockchain,https://coinmarketcap.com/currencies/eos/,https://github.com/EOSIO/Documentation/blob/master/TechnicalWhitePaper.md,EOS.IO Technical White Paper v2,"The EOS.IO software introduces a new blockchain architecture designed to enable vertical and horizontal scaling of decentralized applications. This is achieved by creating an operating system-like construct upon which applications can be built. The software provides accounts, authentication, databases, asynchronous communication, and the scheduling of applications across many of CPU cores or clusters. The resulting technology is a blockchain architecture that may ultimately scale to millions of transactions per second, eliminates user fees, and allows for quick and easy deployment and maintenance of decentralized applications, in the context of a governed blockchain."
22,MultiversX (Elrond) ,EGLD,2020,Blockchain,https://coinmarketcap.com/currencies/elrond-egld/,https://elrond.com/assets/files/elrond-whitepaper.pdf,Elrond: A Highly Scalable Public Blockchain via Adaptive State Sharding and Secure Proof of Stake,"The advent of secure public blockchains through Bitcoin and later Ethereum, has brought forth a notable degree of interest and capital influx, providing the premise for a global wave of permissionless innovation. Despite lofty promises, creating a decentralized, secure and scalable public blockchain has proved to be a strenuous task. This paper proposes Elrond, a novel architecture which goes beyond state of the art by introducing a genuine state sharding scheme for practical scalability, eliminating energy and computational waste while ensuring distributed fairness through a Secure Proof of Stake (SPoS) consensus. Having a strong focus on security, Elrond’s network is built to ensure resistance to known security problems like Sybil attack, Nothing at Stake attack and others. In an ecosystem that strives for interconnectivity, our solution for smart contracts offers an EVM compliant engine to ensure interoperability by design. Preliminary simulations and testnet results reflect that Elrond exceeds Visa’s average throughput and achieves an improvement beyond three orders of magnitude or 1000x compared to the existing viable approaches, while drastically reducing the costs of bootstrapping and storage to ensure long term sustainability."
23,Flow,FLOW,2018,Blockchain,https://coinmarketcap.com/currencies/flow/,https://www.onflow.org/technical-paper/,Flow: Technique Papers,"The architecture of Flow is specified in a series of Technical Papers which explain the many nuances of the system. Technical Papers 1 & 3 have been released first because they are the most critical to understand and assess the soundness of the system while also including the results most applicable to other projects.
Technical Paper 1: Separating Consensus & Compute
The first paper describes the approach at the core of the Flow architecture: splitting consensus (selection and ordering of transactions) from compute (executing each transaction and recording its output) and proves this can dramatically increase throughput without compromising security. In this first paper we analyze how the Flow architecture increases performance, preserves ACID guarantees, and prove that it does not compromise security. The result is a throughput increase by a factor of 56 compared to conventional architectures without loss of safety or decentralization. The paper also notes that a working system based on these ideas must verify the computation (the subject of technical paper 3), but that its key result is applicable regardless of how that problem is addressed.
Technical Paper 2: Block Formation
The second in the series of technical papers formalizes the process of block formation and the Proof of Stake based consensus process in Flow. Flow adapts a variant of the HotStuff consensus algorithm for Consensus Nodes to come to consensus on the blocks they will honor at every block height. This paper also addresses the Consensus role’s responsibility in mitigating challenges submitted to the network.
Technical Paper 3: Execution Verification
The third technical paper answers questions posed by the first whitepaper around the verification of computation results. The paper provides a formalization of our verifiable computation scheme with proofs of safety and liveness under reasonable Byzantine assumptions. Although the paper does not explore the possibility, we believe this result could be adapted to other scenarios where Bulletproofs, TrueBit, TEEs, and other verifiable computation schemes are applicable."
24,Theta Network,THETA,2019,Blockchain,https://coinmarketcap.com/currencies/theta-network/,https://s3.us-east-2.amazonaws.com/assets.thetatoken.org/Theta-white-paper-latest.pdf,Theta: Decentralized video streaming powered by users and an innovative new blockchain,"The Theta Network and protocol solves various challenges the video streaming industry faces today. First, tokens on the Theta blockchain are used as an incentive to encourage individual users to share their redundant computing and bandwidth resources as caching or relay nodes for video streams. This improves the quality of stream delivery and solves the “last-mile” delivery problem, the main bottleneck for traditional content delivery pipelines, especially for high resolution high bitrate 4k, 8k and next generation streams. Second, with sufficient network density the majority of viewers will pull streams from peering caching nodes, allowing video platforms to significantly reduce content delivery network (CDN) costs. More importantly, by introducing tokens as an end-user incentive mechanism the Theta Network allows video platforms to deepen viewer engagement, drive incremental revenues, and differentiate their content and viewing experience from their competitors."
25,Tezos,XTZ,2018,Blockchain,https://coinmarketcap.com/currencies/tezos/,https://tezos.com/whitepaper.pdf,Tezos:a self-amending crypto-ledger White paper,"We present Tezos, a generic and self-amending crypto-ledger. Tezos can instantiate any blockchain based ledger. The operations of a regular blockchain are implemented as a purely functional module abstracted into a shell responsible for network operations. Bitcoin, Ethereum, Cryptonote, etc. can all be represented within Tezos by implementing the proper interface to the network layer. Most importantly, Tezos supports meta upgrades: the protocols can evolve by amending their own code. To achieve this, Tezos begins with a seed protocol defining a procedure for stakeholders to approve amendments to the protocol, including amendments to the voting procedure itself. This is not unlike philosopher Peter Suber’s Nomic, a game built around a fully introspective set of rules. In addition, Tezos’s seed protocol is based on a pure proof-of-stake system and supports Turing complete smart contracts. Tezos is implemented in OCaml, a powerful functional programming language offering speed, an unambiguous syntax and semantic, and an ecosystem making Tezos a good candidate for formal proofs of correctness. Familiarity with the Bitcoin protocol and basic cryptographic primitives are assumed in the rest of this paper."
26,Zcash,ZEC,2016,Blockchain,https://coinmarketcap.com/currencies/zcash/,https://github.com/zcash/zips/blob/master/protocol/protocol.pdf,Zcash Protocol Specification,"Zcash is an implementation of the Decentralized Anonymous Payment scheme Zerocash, with security fixes and improvements to performance and functionality. It bridges the existing transparent payment scheme used by Bitcoin with a shielded payment scheme secured by zero-knowledge succinct non-interactive arguments of knowledge (zk-SNARKs). It attempted to address the problem of mining centralization by use of the Equihash memory-hard proof-of-work algorithm."
27,Klaytn,KLAY,2019,Blockchain,https://coinmarketcap.com/currencies/klaytn/,https://whitepaper.io/coin/klaytn,"Klaytn Whitepaper:
Klaytn seeks to serve as a public blockchain platform providing an easy UX and development environment in order to convey the value of blockchain technology","From its onset in early 2018, Klaytn has identified blockchain mass adoption as its foremost goal. Ever since, the project has built a public blockchain network and a business-friendly development platform around it to help entrepreneurs and enterprises in various sectors build highly usable blockchain applications for a wide range of end-users regardless of their level of crypto-literacy. Klaytn believes that the full innovative potential of blockchain will be unlocked through the new breed of applications - services and products - that the technology unlocks, and that those new applications will deliver unprecedented utility and benefits to its users. In Klaytn’s view, this is how blockchain mass adoption will run its course - organic, user-centric, and natural as the next due step in the course of
evolution. To realize its vision, Klaytn will provide a comprehensive suite of blockchain application development environment, starting with a public blockchain network, development platform, and developer supporting tools. Klaytn development platform aims to imbue businesses with the capability to create
applications that integrate key qualities conferred by the underlying Klaytn public network, including transparency, security, and censorship-resistance. At the same time, the said platform supports enterprise-ready level scalability and performance in order to enable reliable business operations by massive international enterprises. To further strengthen its value proposition for businesses, Klaytn is built on carefully designed token economy, governance systems, and incentive programs to facilitate collaboration among diverse groups of contributors on its platform. Klaytn ecosystem participants include not only direct business partners, infrastructure co-operators, and governance participants, but also organic stakeholders such as developer communities, user circles, and other interest groups. Contributions from various groups are mediated and directed towards growing the ecosystem; Klaytn’s governance will support key growth activities such as maintaining its public network, advancing software development, growing a mesh of connected child networks, aligning interests among participants, and ensuring active participation in the governance decision making procedures. Paving the path towards a widespread adoption of blockchain technology by businesses and the wider body of end-users is an arduous task, riddled with challenges on many fronts. Nevertheless, Klaytn believes its vision of incubating the next breed of blockchain-powered services and products is the path to accelerate the arrival of the next phase of digital business evolution. To that end, Klaytn will continue to address numerous challenges that businesses face in their blockchain adoption"
28,Dash,DASH,2014,Blockchain,https://coinmarketcap.com/currencies/dash/,https://whitepaper.io/coin/dash,Dash: A Privacy­Centric Crypto­Currency ,"A crypto­currency based on Bitcoin, the work of Satoshi Nakamoto, with various improvements such as a two­tier incentivized network, known as the Masternode network. Included are other improvements such as Darksend, for increasing fungibility and InstantX which allows instant transaction confirmation without a centralized authority. "